symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-03-23 00:00:00+00:00,106.13,107.07,105.9,106.48,25703495,24.6738173108,24.8923548428,24.6203453615,24.7551876685,102813980,0.0,1.0
AAPL,2016-03-24 00:00:00+00:00,105.67,106.25,104.89,105.47,26132955,24.5668734122,24.7017157191,24.3855337579,24.5203760649,104531820,0.0,1.0
AAPL,2016-03-28 00:00:00+00:00,105.19,106.19,105.06,106.0,19411372,24.4552797788,24.687766515,24.4250565031,24.6435940351,77645488,0.0,1.0
AAPL,2016-03-29 00:00:00+00:00,107.68,107.79,104.88,104.89,31190083,25.0341717519,25.0597452929,24.3832088906,24.3855337579,124760332,0.0,1.0
AAPL,2016-03-30 00:00:00+00:00,109.56,110.42,108.6,108.65,45601149,25.4712468159,25.671185409,25.2480595492,25.259683886,182404596,0.0,1.0
AAPL,2016-03-31 00:00:00+00:00,108.99,109.9,108.88,109.72,25888449,25.3387293763,25.5502923062,25.3131558353,25.5084446937,103553796,0.0,1.0
AAPL,2016-04-01 00:00:00+00:00,109.99,110.0,108.2,108.78,25873950,25.5712161125,25.5735409798,25.1550648547,25.2899071617,103495800,0.0,1.0
AAPL,2016-04-04 00:00:00+00:00,111.12,112.19,110.27,110.42,37356204,25.8339261243,26.082686932,25.6363123986,25.671185409,149424816,0.0,1.0
AAPL,2016-04-05 00:00:00+00:00,109.81,110.73,109.42,109.51,26578652,25.5293684999,25.7432562972,25.4386986728,25.4596224791,106314608,0.0,1.0
AAPL,2016-04-06 00:00:00+00:00,110.96,110.98,109.2,110.23,26404077,25.7967282465,25.8013779813,25.3875515909,25.6270129291,105616308,0.0,1.0
AAPL,2016-04-07 00:00:00+00:00,108.54,110.42,108.121,109.95,31801870,25.234110345,25.671185409,25.1366984025,25.561916643,127207480,0.0,1.0
AAPL,2016-04-08 00:00:00+00:00,108.66,109.77,108.17,108.91,23581740,25.2620087533,25.5200690305,25.1480902526,25.3201304374,94326960,0.0,1.0
AAPL,2016-04-11 00:00:00+00:00,109.02,110.61,108.83,108.97,29407518,25.3457039784,25.7153578889,25.3015314985,25.3340796415,117630072,0.0,1.0
AAPL,2016-04-12 00:00:00+00:00,110.44,110.5,108.66,109.34,27232325,25.6758351437,25.6897843479,25.2620087533,25.4200997339,108929300,0.0,1.0
AAPL,2016-04-13 00:00:00+00:00,112.04,112.34,110.8,110.8,33257316,26.0478139216,26.1175599425,25.7595303688,25.7595303688,133029264,0.0,1.0
AAPL,2016-04-14 00:00:00+00:00,112.1,112.39,111.33,111.62,25473923,26.0617631258,26.1291842793,25.8827483389,25.9501694924,101895692,0.0,1.0
AAPL,2016-04-15 00:00:00+00:00,109.85,112.3,109.73,112.11,46938969,25.5386679694,26.108260473,25.510769561,26.0640879932,187755876,0.0,1.0
AAPL,2016-04-18 00:00:00+00:00,107.48,108.95,106.94,108.89,60821461,24.9876744046,25.3294299068,24.8621315671,25.3154807027,243285844,0.0,1.0
AAPL,2016-04-19 00:00:00+00:00,106.91,108.0,106.23,107.88,32384879,24.855156965,25.1085675075,24.6970659844,25.0806690991,129539516,0.0,1.0
